Timestamp,Username,Which best describes your gender?,Age,occupation,education,Investment,proportion,rank,rank,rank,rank,rank,rank,rank,stock_invest,factors,Investment_objective,investment_time,monitor_investment,expect_return,Preferred_avenue,Savings_objective,Reason_equity,Reason_MF,purpose_investment,Reason_gb,Reason_fd,source
2023/04/09 11:30:20 PM GMT+5:30,,Male,34,Salaried,Post Graduate,No,5% - 10%,2,1,1,1,6,6,6,No,Returns,Income,1-3 years,Monthly,20% and above,PPF - Public Provident Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Returns,Tax Incentives,Risk free,Internet
2023/04/09 11:41:18 PM GMT+5:30,,Male,23,Salaried,Under Graduate,Yes,5% - 10%,4,4,5,4,3,5,5,Yes,Returns,Capital appreciation,1-3 years,Weekly,20% and above,Equity,Retirement Plan,Capital Appreciation,Better Returns,Returns,Risk-free returns,Risk free,Internet
2023/04/09 11:51:47 PM GMT+5:30,,Female,32,Others,Others,No,5% - 10%,4,2,2,2,5,3,6,No,Locking period,Income,1-3 years,Monthly,5% - 10%,Fixed Deposits,Healthcare,Liquidity,Better Returns,Returns,Safe Investment,Easy to invest in FD,Internet
2023/04/09 11:57:06 PM GMT+5:30,,Male,24,Salaried,Post Graduate,No,10% - 20%,2,1,3,4,5,6,7,Yes,Returns,Income,3-5 years,Weekly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/09 11:58:25 PM GMT+5:30,,Male,25,Salaried,Post Graduate,Yes,5% - 10%,6,6,3,5,4,5,4,Yes,Returns,Capital appreciation,1-3 years,Monthly,5% - 10%,Equity,Healthcare,Capital Appreciation,Funds Diversification,Hedging against inflation,Safe Investment,Fixed returns,Internet
2023/04/10 12:01:57 AM GMT+5:30,,Male,35,Salaried,Professional Degree,Yes,20% - 30%,7,5,5,5,4,4,4,Yes,Returns,Growth,More than 5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/10 12:09:51 AM GMT+5:30,,Male,37,Salaried,Others,Yes,20% - 30%,7,2,1,1,1,1,2,Yes,Risk,Growth,More than 5 years,Monthly,20% and above,Mutual Funds,Retirement Plan,Power of compounding,Better Returns,Wealth creation,Risk-free returns,Easy to invest in FD,Financial Consultant
2023/04/10 12:34:21 AM GMT+5:30,,Male,63,Self-employed,Post Graduate,No,30% and above,3,4,4,6,6,2,3,Yes,Returns,Capital appreciation,More than 5 years,Daily,5% - 10%,Bonds,Retirement Plan,Capital Appreciation,Tax Benefits,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 5:33:51 AM GMT+5:30,,Male,34,Salaried,Post Graduate,Yes,20% - 30%,5,7,3,4,2,1,7,Yes,Returns,Growth,More than 5 years,Daily,20% and above,Equity,Education,Power of compounding,Better Returns,Hedging against inflation,Safe Investment,Risk free,Internet
2023/04/10 6:45:49 AM GMT+5:30,,Male,42,Salaried,Post Graduate,Yes,30% and above,4,6,3,3,5,5,5,Yes,Returns,Capital appreciation,1-3 years,Weekly,5% - 10%,Equity,Retirement Plan,Power of compounding,Tax Benefits,Wealth creation,Risk-free returns,Easy to invest in FD,Internet
2023/04/10 6:49:59 AM GMT+5:30,,Male,30,Salaried,Professional Degree,Yes,10% - 20%,5,4,4,4,2,5,5,No,Returns,Capital appreciation,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Better Returns,Savings for retirement,Risk-free returns,Fixed returns,Financial Consultant
2023/04/10 6:54:29 AM GMT+5:30,,Male,22,Self-employed,Others,Yes,5% - 10%,7,5,1,4,3,7,5,Yes,Risk,Capital appreciation,3-5 years,Weekly,10% - 20%,Equity,Education,Liquidity,Better Returns,Savings for retirement,Risk-free returns,Easy to invest in FD,Internet
2023/04/10 6:57:54 AM GMT+5:30,,Male,43,Self-employed,Post Graduate,Yes,30% and above,7,7,1,2,3,4,3,Yes,Risk,Capital appreciation,1-3 years,Monthly,20% and above,Equity,Education,Capital Appreciation,Funds Diversification,Wealth creation,Safe Investment,Risk free,Internet
2023/04/10 7:26:09 AM GMT+5:30,,Male,52,Self-employed,Post Graduate,Yes,10% - 20%,5,6,1,2,4,3,3,Yes,Returns,Capital appreciation,1-3 years,Monthly,20% and above,Equity,Retirement Plan,Capital Appreciation,Better Returns,Hedging against inflation,Risk-free returns,Fixed returns,Financial Consultant
2023/04/10 7:29:40 AM GMT+5:30,,Male,27,Salaried,Post Graduate,Yes,30% and above,5,6,4,3,5,7,6,Yes,Returns,Income,1-3 years,Monthly,10% - 20%,Equity,Retirement Plan,Power of compounding,Funds Diversification,Hedging against inflation,Risk-free returns,Easy to invest in FD,Internet
2023/04/10 7:38:55 AM GMT+5:30,,Male,40,Salaried,Post Graduate,Yes,10% - 20%,2,5,6,4,3,1,3,Yes,Returns,Growth,1-3 years,Monthly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Risk free,Internet
2023/04/10 7:51:51 AM GMT+5:30,,Female,29,Salaried,Post Graduate,Yes,10% - 20%,7,4,7,7,7,7,7,Yes,Returns,Capital appreciation,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Wealth creation,Safe Investment,Risk free,Financial Consultant
2023/04/10 7:57:32 AM GMT+5:30,,Male,34,Salaried,Professional Degree,No,10% - 20%,3,3,5,5,6,6,7,Yes,Returns,Income,1-3 years,Daily,20% and above,Equity,Education,Power of compounding,Better Returns,Returns,Safe Investment,Risk free,Internet
2023/04/10 8:10:15 AM GMT+5:30,,Male,31,Salaried,Professional Degree,Yes,10% - 20%,7,6,4,3,5,4,4,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Education,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Risk free,Financial Consultant
2023/04/10 8:14:16 AM GMT+5:30,,Male,37,Salaried,Post Graduate,Yes,10% - 20%,7,5,4,6,4,7,3,Yes,Risk,Income,3-5 years,Daily,5% - 10%,PPF - Public Provident Fund,Retirement Plan,Liquidity,Better Returns,Returns,Safe Investment,Risk free,Internet
2023/04/10 8:17:11 AM GMT+5:30,,Male,39,Salaried,Post Graduate,Yes,10% - 20%,3,6,5,6,6,1,5,No,Locking period,Growth,1-3 years,Monthly,5% - 10%,Fixed Deposits,Retirement Plan,Capital Appreciation,Funds Diversification,Savings for retirement,Risk-free returns,Fixed returns,Internet
2023/04/10 8:27:28 AM GMT+5:30,,Male,27,Self-employed,Under Graduate,Yes,10% - 20%,1,5,1,1,1,1,2,Yes,Returns,Growth,1-3 years,Monthly,10% - 20%,Equity,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Risk-free returns,Risk free,Internet
2023/04/10 8:46:41 AM GMT+5:30,,Male,31,Salaried,Professional Degree,Yes,10% - 20%,7,3,1,1,4,5,3,Yes,Returns,Capital appreciation,1-3 years,Daily,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Wealth creation,Safe Investment,Risk free,Financial Consultant
2023/04/10 8:49:50 AM GMT+5:30,,Male,28,Self-employed,Under Graduate,Yes,5% - 10%,1,7,1,1,1,1,1,Yes,Returns,Income,1-3 years,Daily,5% - 10%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/10 8:58:56 AM GMT+5:30,,Male,35,Salaried,Professional Degree,Yes,10% - 20%,2,1,4,5,6,7,3,Yes,Risk,Capital appreciation,1-3 years,Weekly,20% and above,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Internet
2023/04/10 9:08:05 AM GMT+5:30,,Male,50,Salaried,Post Graduate,Yes,20% - 30%,7,7,1,4,4,5,7,Yes,Risk,Income,1-3 years,Weekly,10% - 20%,Equity,Retirement Plan,Power of compounding,Tax Benefits,Savings for retirement,Tax Incentives,High Interest Rates,Television
2023/04/10 9:10:57 AM GMT+5:30,,Male,26,Salaried,Professional Degree,Yes,5% - 10%,6,2,4,7,2,5,4,No,Returns,Income,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Tax Benefits,Savings for retirement,Tax Incentives,Risk free,Financial Consultant
2023/04/10 9:22:50 AM GMT+5:30,,Female,34,Salaried,Post Graduate,No,5% - 10%,5,6,1,2,1,5,6,Yes,Returns,Growth,More than 5 years,Weekly,5% - 10%,Equity,Retirement Plan,Power of compounding,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Internet
2023/04/10 9:38:19 AM GMT+5:30,,Male,68,Self-employed,Ph. D,Yes,30% and above,1,6,1,4,6,7,1,Yes,Risk,Capital appreciation,More than 5 years,Weekly,10% - 20%,Equity,Retirement Plan,Power of compounding,Funds Diversification,Hedging against inflation,Safe Investment,Easy to invest in FD,Newspapers and Magazines
2023/04/10 10:07:28 AM GMT+5:30,,Male,29,Salaried,Post Graduate,Yes,10% - 20%,6,5,4,4,5,6,3,Yes,Returns,Growth,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Internet
2023/04/10 10:24:57 AM GMT+5:30,,Male,69,Others,Professional Degree,Yes,30% and above,6,5,2,2,1,4,1,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Tax Incentives,High Interest Rates,Financial Consultant
2023/04/10 10:29:45 AM GMT+5:30,,Male,21,Salaried,Under Graduate,Yes,30% and above,5,4,5,5,3,3,3,Yes,Returns,Capital appreciation,3-5 years,Weekly,10% - 20%,Equity,Education,Capital Appreciation,Better Returns,Wealth creation,Risk-free returns,Risk free,Internet
2023/04/10 10:30:03 AM GMT+5:30,,Male,60,Self-employed,Post Graduate,Yes,10% - 20%,2,2,4,3,4,4,2,No,Returns,Income,3-5 years,Monthly,20% and above,Equity,Healthcare,Dividend Income,Tax Benefits,Savings for retirement,Safe Investment,Risk free,Financial Consultant
2023/04/10 10:31:29 AM GMT+5:30,,Male,52,Salaried,Post Graduate,Yes,5% - 10%,6,2,4,6,5,5,3,No,Risk,Income,3-5 years,Monthly,5% - 10%,Mutual Funds,Retirement Plan,Liquidity,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 10:38:42 AM GMT+5:30,,Male,27,Salaried,Under Graduate,No,10% - 20%,4,4,5,6,5,5,3,No,Returns,Growth,1-3 years,Monthly,20% and above,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Better Returns,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 11:10:50 AM GMT+5:30,,Male,67,Self-employed,Post Graduate,No,30% and above,1,7,2,2,1,7,1,Yes,Returns,Capital appreciation,1-3 years,Daily,20% and above,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Wealth creation,Risk-free returns,Risk free,Financial Consultant
2023/04/10 11:29:59 AM GMT+5:30,,Male,24,Student,Under Graduate,No,5% - 10%,3,2,3,3,1,2,6,Yes,Returns,Growth,1-3 years,Monthly,10% - 20%,Equity,Education,Dividend Income,Tax Benefits,Savings for retirement,Safe Investment,High Interest Rates,Newspapers and Magazines
2023/04/10 11:43:23 AM GMT+5:30,,Male,28,Salaried,Post Graduate,Yes,30% and above,7,5,3,1,3,5,3,Yes,Returns,Capital appreciation,More than 5 years,Weekly,20% and above,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Wealth creation,Risk-free returns,Risk free,Internet
2023/04/10 12:24:48 PM GMT+5:30,,Male,25,Others,Post Graduate,Yes,5% - 10%,1,1,2,2,1,1,1,No,Returns,Capital appreciation,1-3 years,Weekly,5% - 10%,Mutual Funds,Healthcare,Capital Appreciation,Better Returns,Savings for retirement,Safe Investment,Fixed returns,Financial Consultant
2023/04/10 12:26:27 PM GMT+5:30,,Male,27,Others,Post Graduate,Yes,20% - 30%,1,1,1,1,1,1,3,Yes,Returns,Capital appreciation,1-3 years,Daily,5% - 10%,Mutual Funds,Education,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,High Interest Rates,Financial Consultant
2023/04/10 12:34:05 PM GMT+5:30,,Male,38,Salaried,Under Graduate,Yes,20% - 30%,5,3,6,7,7,7,6,Yes,Returns,Growth,More than 5 years,Monthly,5% - 10%,Mutual Funds,Retirement Plan,Dividend Income,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Financial Consultant
2023/04/10 1:59:59 PM GMT+5:30,,Female,33,Self-employed,Post Graduate,Yes,5% - 10%,1,7,1,2,1,7,7,No,Returns,Growth,1-3 years,Daily,5% - 10%,Fixed Deposits,Education,Dividend Income,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/10 2:16:17 PM GMT+5:30,,Male,33,Salaried,Post Graduate,Yes,10% - 20%,3,3,3,3,3,3,3,Yes,Returns,Income,1-3 years,Monthly,10% - 20%,Equity,Healthcare,Liquidity,Better Returns,Savings for retirement,Safe Investment,High Interest Rates,Financial Consultant
2023/04/10 2:22:39 PM GMT+5:30,,Female,31,Salaried,Professional Degree,Yes,10% - 20%,7,6,2,4,3,4,1,Yes,Returns,Capital appreciation,3-5 years,Weekly,20% and above,Mutual Funds,Retirement Plan,Liquidity,Tax Benefits,Wealth creation,Safe Investment,Risk free,Newspapers and Magazines
2023/04/10 2:25:57 PM GMT+5:30,,Male,28,Salaried,Others,No,5% - 10%,5,2,3,5,4,3,5,No,Returns,Income,1-3 years,Weekly,5% - 10%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 2:30:08 PM GMT+5:30,,Male,31,Others,Others,Yes,5% - 10%,1,7,5,5,2,2,7,Yes,Risk,Capital appreciation,1-3 years,Daily,5% - 10%,Mutual Funds,Education,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/10 3:25:29 PM GMT+5:30,,Male,27,Salaried,Post Graduate,Yes,10% - 20%,7,5,3,3,7,7,3,Yes,Returns,Income,1-3 years,Monthly,20% and above,Mutual Funds,Retirement Plan,Capital Appreciation,Tax Benefits,Wealth creation,Tax Incentives,Easy to invest in FD,Internet
2023/04/10 3:44:34 PM GMT+5:30,,Female,32,Salaried,Post Graduate,Yes,5% - 10%,5,4,3,6,6,5,4,No,Returns,Growth,3-5 years,Monthly,20% and above,Mutual Funds,Education,Capital Appreciation,Tax Benefits,Savings for retirement,Risk-free returns,Fixed returns,Financial Consultant
2023/04/10 3:46:52 PM GMT+5:30,,Female,27,Salaried,Post Graduate,Yes,10% - 20%,5,5,4,5,7,4,6,Yes,Returns,Income,3-5 years,Weekly,20% and above,Fixed Deposits,Education,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/10 3:57:39 PM GMT+5:30,,Female,30,Salaried,Post Graduate,Yes,5% - 10%,4,4,2,2,2,4,3,No,Risk,Income,1-3 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Tax Benefits,Savings for retirement,Safe Investment,Fixed returns,Financial Consultant
2023/04/10 4:24:52 PM GMT+5:30,,Female,30,Salaried,Professional Degree,Yes,10% - 20%,6,4,5,5,3,5,4,Yes,Returns,Growth,1-3 years,Weekly,5% - 10%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Risk free,Financial Consultant
2023/04/10 4:40:30 PM GMT+5:30,,Female,39,Salaried,Post Graduate,No,5% - 10%,4,4,3,3,6,5,3,No,Returns,Growth,More than 5 years,Weekly,20% and above,Fixed Deposits,Retirement Plan,Liquidity,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 4:44:35 PM GMT+5:30,,Female,36,Salaried,Post Graduate,Yes,5% - 10%,6,4,4,5,5,7,6,Yes,Returns,Income,More than 5 years,Weekly,10% - 20%,PPF - Public Provident Fund,Retirement Plan,Dividend Income,Better Returns,Savings for retirement,Tax Incentives,Risk free,Internet
2023/04/10 5:16:25 PM GMT+5:30,,Male,32,Salaried,Post Graduate,Yes,20% - 30%,7,5,3,3,3,4,5,Yes,Returns,Capital appreciation,3-5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Tax Incentives,Risk free,Internet
2023/04/10 5:17:44 PM GMT+5:30,,Male,30,Salaried,Professional Degree,Yes,5% - 10%,7,4,2,2,5,5,1,Yes,Locking period,Growth,More than 5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Power of compounding,Tax Benefits,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 5:17:49 PM GMT+5:30,,Male,40,Salaried,Post Graduate,No,10% - 20%,6,3,4,4,4,7,5,No,Risk,Growth,3-5 years,Weekly,10% - 20%,PPF - Public Provident Fund,Education,Capital Appreciation,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 5:18:19 PM GMT+5:30,,Female,30,Others,Others,No,5% - 10%,3,3,5,5,6,7,4,No,Returns,Income,3-5 years,Weekly,20% and above,Fixed Deposits,Healthcare,Dividend Income,Better Returns,Savings for retirement,Safe Investment,Risk free,Internet
2023/04/10 5:19:07 PM GMT+5:30,,Male,38,Salaried,Post Graduate,Yes,30% and above,7,7,2,3,5,7,5,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/10 5:25:12 PM GMT+5:30,,Female,23,Salaried,Others,Yes,5% - 10%,5,4,4,6,5,7,7,No,Returns,Growth,3-5 years,Weekly,20% and above,PPF - Public Provident Fund,Education,Dividend Income,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/10 5:30:00 PM GMT+5:30,,Male,39,Salaried,Others,Yes,20% - 30%,6,6,5,5,4,6,7,Yes,Returns,Growth,More than 5 years,Weekly,20% and above,PPF - Public Provident Fund,Retirement Plan,Liquidity,Funds Diversification,Returns,Safe Investment,Fixed returns,Internet
2023/04/10 5:41:17 PM GMT+5:30,,Male,42,Salaried,Post Graduate,Yes,5% - 10%,6,6,2,2,1,5,6,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Education,Power of compounding,Better Returns,Wealth creation,Risk-free returns,Easy to invest in FD,Newspapers and Magazines
2023/04/10 5:44:54 PM GMT+5:30,,Female,42,Salaried,Post Graduate,Yes,30% and above,4,5,6,5,3,4,6,Yes,Returns,Growth,1-3 years,Daily,20% and above,Equity,Retirement Plan,Dividend Income,Tax Benefits,Savings for retirement,Risk-free returns,Risk free,Newspapers and Magazines
2023/04/10 5:52:03 PM GMT+5:30,,Female,54,Salaried,Post Graduate,Yes,20% - 30%,7,4,3,2,6,7,3,No,Risk,Growth,1-3 years,Monthly,5% - 10%,Mutual Funds,Retirement Plan,Liquidity,Better Returns,Wealth creation,Tax Incentives,Fixed returns,Financial Consultant
2023/04/10 5:53:19 PM GMT+5:30,,Male,37,Salaried,Post Graduate,Yes,10% - 20%,6,5,4,5,5,5,6,Yes,Returns,Capital appreciation,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Liquidity,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Internet
2023/04/10 6:20:35 PM GMT+5:30,,Female,38,Salaried,Post Graduate,Yes,10% - 20%,4,3,2,1,1,1,2,No,Returns,Growth,1-3 years,Monthly,20% and above,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Better Returns,Returns,Risk-free returns,Fixed returns,Internet
2023/04/10 6:25:23 PM GMT+5:30,,Male,54,Self-employed,Post Graduate,Yes,10% - 20%,5,2,3,5,6,6,4,No,Returns,Income,3-5 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Dividend Income,Better Returns,Wealth creation,Risk-free returns,Risk free,Newspapers and Magazines
